name,image,video,project,link,path
1BR MID1 BDO,https://drive.google.com/thumbnail?id=176Awe-j9uYHcdVzm64maVhpBu77cnS7T&sz=w500,,cubao,https://drive.google.com/uc?export=download&id=176Awe-j9uYHcdVzm64maVhpBu77cnS7T,LATEST SAMPLE COMPUTATION BANK\BDO\1BR MID1 BDO
1BR MID2 BDO,https://drive.google.com/thumbnail?id=1izPs5vZc7lRWG-KDMAS_E8V9vcWnmG1W&sz=w500,,cubao,https://drive.google.com/uc?export=download&id=1izPs5vZc7lRWG-KDMAS_E8V9vcWnmG1W,LATEST SAMPLE COMPUTATION BANK\BDO\1BR MID2 BDO
SC1214 HIGH BDO,https://drive.google.com/thumbnail?id=1u8MiIUYEu35r47-s8iYs1JY3z5YLtTaG&sz=w500,,cubao,https://drive.google.com/uc?export=download&id=1u8MiIUYEu35r47-s8iYs1JY3z5YLtTaG,LATEST SAMPLE COMPUTATION BANK\BDO\SC1214 HIGH BDO
SC1214 LOW1 BDO,https://drive.google.com/thumbnail?id=1NTM8rkC1pC8VDJow9zAQ7AVFlyccGfbt&sz=w500,,cubao,https://drive.google.com/uc?export=download&id=1NTM8rkC1pC8VDJow9zAQ7AVFlyccGfbt,LATEST SAMPLE COMPUTATION BANK\BDO\SC1214 LOW1 BDO
SC1214 LOW2 BDO,https://drive.google.com/thumbnail?id=1N0g0FD_tzVnLn3dbBt6bAetMs3cLSVdI&sz=w500,,cubao,https://drive.google.com/uc?export=download&id=1N0g0FD_tzVnLn3dbBt6bAetMs3cLSVdI,LATEST SAMPLE COMPUTATION BANK\BDO\SC1214 LOW2 BDO
SC1214 MID1 BDO,https://drive.google.com/thumbnail?id=1fMmTtG106iSUDnGuom2Je2H2k7hYmGLz&sz=w500,,cubao,https://drive.google.com/uc?export=download&id=1fMmTtG106iSUDnGuom2Je2H2k7hYmGLz,LATEST SAMPLE COMPUTATION BANK\BDO\SC1214 MID1 BDO
SC1214 MID2 BDO,https://drive.google.com/thumbnail?id=1C0GKsiZT3IJSZQeCZEkcChL8xiVJthlz&sz=w500,,cubao,https://drive.google.com/uc?export=download&id=1C0GKsiZT3IJSZQeCZEkcChL8xiVJthlz,LATEST SAMPLE COMPUTATION BANK\BDO\SC1214 MID2 BDO
SO1214 HIGH BDO,https://drive.google.com/thumbnail?id=1UlkzHTQOpP79352i2RlMFNK0dRyZ6Rhl&sz=w500,,cubao,https://drive.google.com/uc?export=download&id=1UlkzHTQOpP79352i2RlMFNK0dRyZ6Rhl,LATEST SAMPLE COMPUTATION BANK\BDO\SO1214 HIGH BDO
SO1214 LOW1 BDO,https://drive.google.com/thumbnail?id=1PG9tN_Xhor-fb7x30mBjBbGMGpy_YNc5&sz=w500,,cubao,https://drive.google.com/uc?export=download&id=1PG9tN_Xhor-fb7x30mBjBbGMGpy_YNc5,LATEST SAMPLE COMPUTATION BANK\BDO\SO1214 LOW1 BDO
SO1214 LOW2 BDO,https://drive.google.com/thumbnail?id=1beuK6oGOZBmuf-p-cW7pa627ZcJ350aC&sz=w500,,cubao,https://drive.google.com/uc?export=download&id=1beuK6oGOZBmuf-p-cW7pa627ZcJ350aC,LATEST SAMPLE COMPUTATION BANK\BDO\SO1214 LOW2 BDO
SO1214 MID1 BDO,https://drive.google.com/thumbnail?id=1JQLmx__rUB8DIPcRvvgGrRzz_nEFa6I6&sz=w500,,cubao,https://drive.google.com/uc?export=download&id=1JQLmx__rUB8DIPcRvvgGrRzz_nEFa6I6,LATEST SAMPLE COMPUTATION BANK\BDO\SO1214 MID1 BDO
SO1214 MID2 BDO,https://drive.google.com/thumbnail?id=1H9u7RQOtyrkIAiRT8OmgQm0CKjNFH3S6&sz=w500,,cubao,https://drive.google.com/uc?export=download&id=1H9u7RQOtyrkIAiRT8OmgQm0CKjNFH3S6,LATEST SAMPLE COMPUTATION BANK\BDO\SO1214 MID2 BDO
1BR HIGH BPI,https://drive.google.com/thumbnail?id=1NOzVpjZQ46--I2dutYqFztmyFJoysxeB&sz=w500,,cubao,https://drive.google.com/uc?export=download&id=1NOzVpjZQ46--I2dutYqFztmyFJoysxeB,LATEST SAMPLE COMPUTATION BANK\BPI\1BR HIGH BPI
1BR LOW1 BPI,https://drive.google.com/thumbnail?id=1PGgWqCYaMMFmtWTHlwq3p_BSSrTyjl6G&sz=w500,,cubao,https://drive.google.com/uc?export=download&id=1PGgWqCYaMMFmtWTHlwq3p_BSSrTyjl6G,LATEST SAMPLE COMPUTATION BANK\BPI\1BR LOW1 BPI
1BR LOW2 BPI,https://drive.google.com/thumbnail?id=1bxiAKDY-IE38RBDPZcwq7kbYIbN-GK7z&sz=w500,,cubao,https://drive.google.com/uc?export=download&id=1bxiAKDY-IE38RBDPZcwq7kbYIbN-GK7z,LATEST SAMPLE COMPUTATION BANK\BPI\1BR LOW2 BPI
1BR MID1 BPI,https://drive.google.com/thumbnail?id=1qjYTMwwWOuY_G4P-NZPeBf-5LBDzK2Lp&sz=w500,,cubao,https://drive.google.com/uc?export=download&id=1qjYTMwwWOuY_G4P-NZPeBf-5LBDzK2Lp,LATEST SAMPLE COMPUTATION BANK\BPI\1BR MID1 BPI
1BR MID2 BPI,https://drive.google.com/thumbnail?id=1p6u55Fv-bVsGSmSs_IcRuZeI-nXYpzd0&sz=w500,,cubao,https://drive.google.com/uc?export=download&id=1p6u55Fv-bVsGSmSs_IcRuZeI-nXYpzd0,LATEST SAMPLE COMPUTATION BANK\BPI\1BR MID2 BPI
