name,image,video,project,path
1BR LOW1 BPI,https://drive.google.com/uc?export=download&id=1PGgWqCYaMMFmtWTHlwq3p_BSSrTyjl6G,,cubao,LATEST SAMPLE COMPUTATION BANK\BPI\1BR LOW1 BPI
1BR LOW2 BPI,https://drive.google.com/uc?export=download&id=1bxiAKDY-IE38RBDPZcwq7kbYIbN-GK7z,,cubao,LATEST SAMPLE COMPUTATION BANK\BPI\1BR LOW2 BPI
1BR MID1 BPI,https://drive.google.com/uc?export=download&id=1qjYTMwwWOuY_G4P-NZPeBf-5LBDzK2Lp,,cubao,LATEST SAMPLE COMPUTATION BANK\BPI\1BR MID1 BPI
1BR MID2 BPI,https://drive.google.com/uc?export=download&id=1p6u55Fv-bVsGSmSs_IcRuZeI-nXYpzd0,,cubao,LATEST SAMPLE COMPUTATION BANK\BPI\1BR MID2 BPI
SC1214 HIGH BPI,https://drive.google.com/uc?export=download&id=1O7fCVE-1HH1WdkJDGU1zbiqVkiAXvJMC,,cubao,LATEST SAMPLE COMPUTATION BANK\BPI\SC1214 HIGH BPI
SC1214 LOW1 BPI,https://drive.google.com/uc?export=download&id=1fjR13kBDZ8V85s_oGJRWC-ezh8HQKE7U,,cubao,LATEST SAMPLE COMPUTATION BANK\BPI\SC1214 LOW1 BPI
SC1214 LOW2 BPI,https://drive.google.com/uc?export=download&id=1ReWc1ARSJAP7wGV9PLwFz_5kX1wSg3ZH,,cubao,LATEST SAMPLE COMPUTATION BANK\BPI\SC1214 LOW2 BPI
SC1214 MID1 BPI,https://drive.google.com/uc?export=download&id=1IHP8KruQqoWJ0OzbD9XaElowGllwcYSQ,,cubao,LATEST SAMPLE COMPUTATION BANK\BPI\SC1214 MID1 BPI
SC1214 MID2 BPI,https://drive.google.com/uc?export=download&id=1ZgnsBKAHEnKUoFL-iHZVndW32l5WyLvR,,cubao,LATEST SAMPLE COMPUTATION BANK\BPI\SC1214 MID2 BPI
SO1214 HIGH BPI,https://drive.google.com/uc?export=download&id=1cdxVECsE2rb7thHYwyDrRElSgABV6hs9,,cubao,LATEST SAMPLE COMPUTATION BANK\BPI\SO1214 HIGH BPI
SO1214 LOW1 BPI,https://drive.google.com/uc?export=download&id=12REKi35qbqIZZDUlH_qFcvVmGRTdCw8D,,cubao,LATEST SAMPLE COMPUTATION BANK\BPI\SO1214 LOW1 BPI
SO1214 LOW2 BPI,https://drive.google.com/uc?export=download&id=1AQTEO-2B9cKzKPBURUXemp6vkhPo-1uL,,cubao,LATEST SAMPLE COMPUTATION BANK\BPI\SO1214 LOW2 BPI
SO1214 MID1 BPI,https://drive.google.com/uc?export=download&id=1Et05a9h1rYAw1xEtc6UhH4qi2KZIwxuk,,cubao,LATEST SAMPLE COMPUTATION BANK\BPI\SO1214 MID1 BPI
SO1214 MID2 BPI,https://drive.google.com/uc?export=download&id=1LTTVUpPmdsyPYCDRpdOel5bHjexoa4tt,,cubao,LATEST SAMPLE COMPUTATION BANK\BPI\SO1214 MID2 BPI
1BR HIGH CHINABANK,https://drive.google.com/uc?export=download&id=13kJf4Up-GUVZs3pCCOrYoPTh27_K9gmT,,cubao,LATEST SAMPLE COMPUTATION BANK\CHINABANK\1BR HIGH CHINABANK
1BR LOW1 CHINABANK,https://drive.google.com/uc?export=download&id=16KY3Yv_gIcuWEuqXmPCAn1OpmPdpJJ7j,,cubao,LATEST SAMPLE COMPUTATION BANK\CHINABANK\1BR LOW1 CHINABANK
